timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643378288064,93,POST /api/pettypes,201,,PET CLINIC SUITES 1-2,text,true,,400,265,3,3,http://localhost:9966/petclinic/api/pettypes,86,0,61
1643378288115,42,POST /api/pettypes,201,,PET CLINIC SUITES 1-3,text,true,,400,265,3,3,http://localhost:9966/petclinic/api/pettypes,35,0,10
1643378288064,93,POST /api/pettypes,201,,PET CLINIC SUITES 1-1,text,true,,400,265,3,3,http://localhost:9966/petclinic/api/pettypes,86,0,61
1643378288211,11,POST /api/pettypes,201,,PET CLINIC SUITES 1-4,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,11,0,2
1643378288290,27,POST /api/pettypes,201,,PET CLINIC SUITES 1-5,text,true,,400,265,5,5,http://localhost:9966/petclinic/api/pettypes,27,0,2
1643378288485,13,POST /api/pettypes,201,,PET CLINIC SUITES 1-6,text,true,,400,265,6,6,http://localhost:9966/petclinic/api/pettypes,13,0,2
1643378288549,11,POST /api/pettypes,201,,PET CLINIC SUITES 1-7,text,true,,400,265,7,7,http://localhost:9966/petclinic/api/pettypes,11,0,2
1643378288715,10,POST /api/pettypes,201,,PET CLINIC SUITES 1-8,text,true,,400,265,8,8,http://localhost:9966/petclinic/api/pettypes,10,0,1
1643378288785,12,POST /api/pettypes,201,,PET CLINIC SUITES 1-9,text,true,,400,265,9,9,http://localhost:9966/petclinic/api/pettypes,12,0,2
1643378288924,10,POST /api/pettypes,201,,PET CLINIC SUITES 1-10,text,true,,400,265,10,10,http://localhost:9966/petclinic/api/pettypes,10,0,2
1643378288935,9,GET /api/pettypes,200,,PET CLINIC SUITES 1-10,text,true,,830,179,10,10,http://localhost:9966/petclinic/api/pettypes,8,0,0
1643378288726,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-8,text,true,,784,179,8,8,http://localhost:9966/petclinic/api/pettypes,6,0,0
1643378288499,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-6,text,true,,738,179,6,6,http://localhost:9966/petclinic/api/pettypes,6,0,0
1643378288163,9,GET /api/pettypes,200,,PET CLINIC SUITES 1-1,text,true,,669,179,3,3,http://localhost:9966/petclinic/api/pettypes,8,0,0
1643378288798,7,GET /api/pettypes,200,,PET CLINIC SUITES 1-9,text,true,,807,179,9,9,http://localhost:9966/petclinic/api/pettypes,7,0,0
1643378288163,9,GET /api/pettypes,200,,PET CLINIC SUITES 1-3,text,true,,669,179,3,3,http://localhost:9966/petclinic/api/pettypes,9,0,0
1643378288224,7,GET /api/pettypes,200,,PET CLINIC SUITES 1-4,text,true,,692,179,4,4,http://localhost:9966/petclinic/api/pettypes,7,0,0
1643378288561,9,GET /api/pettypes,200,,PET CLINIC SUITES 1-7,text,true,,761,179,7,7,http://localhost:9966/petclinic/api/pettypes,9,0,0
1643378288163,9,GET /api/pettypes,200,,PET CLINIC SUITES 1-2,text,true,,669,179,3,3,http://localhost:9966/petclinic/api/pettypes,9,0,0
1643378288318,8,GET /api/pettypes,200,,PET CLINIC SUITES 1-5,text,true,,715,179,5,5,http://localhost:9966/petclinic/api/pettypes,7,0,0
1643378289266,16,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-3,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/52,0,0,0
1643378289266,15,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-6,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/55,0,0,0
1643378289266,16,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-5,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/54,0,0,0
1643378289266,16,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-4,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/53,0,0,0
1643378289266,17,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-7,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/56,0,0,0
1643378289266,17,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-1,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/52,0,0,0
1643378289266,17,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-9,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/58,0,0,0
1643378289266,18,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-8,text,true,,282,275,10,10,http://localhost:9966/petclinic/api/pettypes/57,0,0,0
