timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643378502432,23,POST /api/pettypes,201,,PET CLINIC SUITES 1-4,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,17,0,2
1643378502372,83,POST /api/pettypes,201,,PET CLINIC SUITES 1-3,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,77,0,50
1643378502372,83,POST /api/pettypes,201,,PET CLINIC SUITES 1-2,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,77,0,50
1643378502372,83,POST /api/pettypes,201,,PET CLINIC SUITES 1-1,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,77,0,50
1643378502510,10,POST /api/pettypes,201,,PET CLINIC SUITES 1-5,text,true,,400,265,5,5,http://localhost:9966/petclinic/api/pettypes,9,0,2
1643378502620,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-6,text,true,,400,265,6,6,http://localhost:9966/petclinic/api/pettypes,9,0,1
1643378502736,10,POST /api/pettypes,201,,PET CLINIC SUITES 1-7,text,true,,400,265,7,7,http://localhost:9966/petclinic/api/pettypes,9,0,1
1643378502847,10,POST /api/pettypes,201,,PET CLINIC SUITES 1-8,text,true,,400,265,8,8,http://localhost:9966/petclinic/api/pettypes,10,0,2
1643378502939,12,POST /api/pettypes,201,,PET CLINIC SUITES 1-9,text,true,,400,265,9,9,http://localhost:9966/petclinic/api/pettypes,12,0,3
1643378503040,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-10,text,true,,400,265,10,10,http://localhost:9966/petclinic/api/pettypes,8,0,1
1643378503142,10,POST /api/pettypes,201,,PET CLINIC SUITES 1-11,text,true,,400,265,11,11,http://localhost:9966/petclinic/api/pettypes,10,0,2
1643378503050,5,GET /api/pettypes,200,,PET CLINIC SUITES 1-10,text,true,,886,179,10,10,http://localhost:9966/petclinic/api/pettypes,5,0,0
1643378502461,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-3,text,true,,742,179,4,4,http://localhost:9966/petclinic/api/pettypes,6,0,0
1643378502461,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-4,text,true,,742,179,4,4,http://localhost:9966/petclinic/api/pettypes,6,0,0
1643378502461,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-1,text,true,,742,179,4,4,http://localhost:9966/petclinic/api/pettypes,6,0,0
1643378503153,7,GET /api/pettypes,200,,PET CLINIC SUITES 1-11,text,true,,910,179,11,11,http://localhost:9966/petclinic/api/pettypes,7,0,0
1643378502747,5,GET /api/pettypes,200,,PET CLINIC SUITES 1-7,text,true,,814,179,7,7,http://localhost:9966/petclinic/api/pettypes,5,0,0
1643378502858,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-8,text,true,,838,179,8,8,http://localhost:9966/petclinic/api/pettypes,6,0,0
1643378502952,7,GET /api/pettypes,200,,PET CLINIC SUITES 1-9,text,true,,862,179,9,9,http://localhost:9966/petclinic/api/pettypes,7,0,0
1643378502521,5,GET /api/pettypes,200,,PET CLINIC SUITES 1-5,text,true,,766,179,5,5,http://localhost:9966/petclinic/api/pettypes,5,0,0
1643378503303,12,POST /api/pettypes,201,,PET CLINIC SUITES 1-12,text,true,,400,265,12,12,http://localhost:9966/petclinic/api/pettypes,12,0,2
1643378502629,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-6,text,true,,790,179,6,6,http://localhost:9966/petclinic/api/pettypes,6,0,0
1643378503316,12,PUT /api/pettypes/{petTypeId},204,,PET CLINIC SUITES 1-8,text,true,,282,276,12,12,http://localhost:9966/petclinic/api/pettypes/117,0,0,0
1643378502461,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-2,text,true,,742,179,4,4,http://localhost:9966/petclinic/api/pettypes,6,0,0
