timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643380619985,79,POST /api/pettypes,201,,PET CLINIC SUITES 1-3,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,72,0,50
1643380619977,87,POST /api/pettypes,201,,PET CLINIC SUITES 1-2,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,80,0,58
1643380619977,87,POST /api/pettypes,201,,PET CLINIC SUITES 1-1,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,80,0,58
1643380620063,8,POST /api/pettypes,201,,PET CLINIC SUITES 1-4,text,true,,400,265,4,4,http://localhost:9966/petclinic/api/pettypes,7,0,2
1643380620149,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-5,text,true,,400,265,5,5,http://localhost:9966/petclinic/api/pettypes,9,0,2
1643380620255,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-6,text,true,,400,265,6,6,http://localhost:9966/petclinic/api/pettypes,9,0,2
1643380620384,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-7,text,true,,400,265,7,7,http://localhost:9966/petclinic/api/pettypes,9,0,2
1643380620514,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-8,text,true,,400,265,8,8,http://localhost:9966/petclinic/api/pettypes,8,0,2
1643380620589,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-9,text,true,,400,265,9,9,http://localhost:9966/petclinic/api/pettypes,9,0,2
1643380620700,13,POST /api/pettypes,201,,PET CLINIC SUITES 1-10,text,true,,400,265,10,10,http://localhost:9966/petclinic/api/pettypes,13,0,3
1643380620859,9,POST /api/pettypes,201,,PET CLINIC SUITES 1-11,text,true,,400,265,11,11,http://localhost:9966/petclinic/api/pettypes,9,0,2
1643380620523,9,GET /api/pettypes,200,,PET CLINIC SUITES 1-8,text,true,,24325,179,8,8,http://localhost:9966/petclinic/api/pettypes,9,0,0
1643380620394,8,GET /api/pettypes,200,,PET CLINIC SUITES 1-7,text,true,,24300,179,7,7,http://localhost:9966/petclinic/api/pettypes,8,0,0
1643380620072,11,GET /api/pettypes,200,,PET CLINIC SUITES 1-4,text,true,,24225,179,4,4,http://localhost:9966/petclinic/api/pettypes,10,0,0
